code,name,avg_volume
3481,群創,613120
2409,友達,262843
6770,力積電,226901
2344,華邦電,183601
2337,旺宏,112170
2408,南亞科,106695
2367,燿華,104325
2313,華通,98587
6443,元晶,91005
2303,聯電,82125
2887,台新新光金,75058
2485,兆赫,68447
2317,鴻海,59414
2489,瑞軒,52841
2883,凱基金,46728
2891,中信金,45285
3576,聯合再生,40250
3715,定穎投控,39874
4906,正文,39551
2330,台積電,37138
2324,仁寶,34276
4989,榮科,33671
3231,緯創,33408
2884,玉山金,31988
2406,國碩,30655
4958,臻鼎-KY,28799
2327,國巨*,28559
2369,菱生,28328
2355,敬鵬,28002
3189,景碩,27394
6285,啟碁,27307
2481,強茂,26711
2834,臺企銀,25618
6116,彩晶,25617
8039,台虹,24325
2890,永豐金,24075
2353,宏碁,24006
2882,國泰金,23924
2885,元大金,23765
8112,至上,23601
3049,精金,23473
3714,富采,23416
3037,欣興,23122
2886,兆豐金,22506
6213,聯茂,22238
3450,聯鈞,21439
4919,新唐,20684
2449,京元電子,20267
2892,第一金,20197
3711,日月光投控,19962
2881,富邦金,19830
6282,康舒,19696
2301,光寶科,19328
2382,廣達,19307
4960,誠美材,19259
2329,華泰,18798
3702,大聯大,18633
3006,晶豪科,18622
2801,彰銀,18504
2455,全新,18447
8110,華東,17793
2426,鼎元,17587
3062,建漢,17045
2356,英業達,16531
8150,南茂,16348
5880,合庫金,16257
8021,尖點,16180
8046,南電,16143
2880,華南金,15254
2312,金寶,14947
2323,中環,14880
4977,眾達-KY,14826
6257,矽格,14464
3645,達邁,14032
2402,毅嘉,13079
3706,神達,12861
4938,和碩,12583
4967,十銓,12529
4956,光鋐,12377
3036,文曄,12103
2308,台達電,12035
2399,映泰,11996
4927,泰鼎-KY,11763
2486,一詮,11707
8028,昇陽半導體,11470
2412,中華電,11374
2867,三商壽,11274
1582,信錦,11192
6168,宏齊,10941
6239,力成,10448
2812,台中銀,10316
3701,大眾控,10198
6456,GIS-KY,10100
2495,普安,10038
2419,仲琦,9958
3380,明泰,9819
2368,金像電,9271
3535,晶彩科,8886
2492,華新科,8851
6005,群益證,8579
2451,創見,8059
3045,台灣大,7843
3030,德律,7818
3005,神基,7741
2454,聯發科,7656
6706,惠特,7605
2316,楠梓電,7543
2376,技嘉,6978
2845,遠東銀,6965
6152,百一,6845
5876,上海商銀,6788
2377,微星,6737
3033,威健,6667
3026,禾伸堂,6594
2347,聯強,6549
2338,光罩,6523
2855,統一證,6493
8271,宇瞻,6458
2421,建準,6457
3376,新日興,6438
2349,錸德,6346
3028,增你強,6340
3673,TPK-KY,6268
2441,超豐,6187
2887I,台新新光辛特,6008
6415,矽力*-KY,5966
4949,有成精密,5916
6531,愛普*,5884
2388,威盛,5881
3149,正達,5878
2498,宏達電,5860
2413,環科,5841
3042,晶技,5797
8131,福懋科,5752
6789,采鈺,5719
2484,希華,5709
6191,精成科,5703
6271,同欣電,5684
4904,遠傳,5607
6672,騰輝電子-KY,5322
3017,奇鋐,5147
6451,訊芯-KY,5140
2436,偉詮電,5137
2351,順德,5098
3138,耀登,5055
6153,嘉聯益,4984
3135,凌航,4954
2352,佳世達,4942
2464,盟立,4872
2897,王道銀行,4860
6133,金橋,4792
2345,智邦,4758
3031,佰鴻,4747
5243,乙盛-KY,4650
6120,達運,4573
2385,群光,4545
6139,亞翔,4535
2354,鴻準,4511
3060,銘異,4495
2340,台亞,4417
2889,國票金,4249
3665,貿聯-KY,4217
2458,義隆,4201
2357,華碩,4138
3048,益登,4090
5388,中磊,4075
3034,聯詠,4045
2472,立隆電,4042
2467,志聖,4041
3305,昇貿,3975
2360,致茂,3951
6176,瑞儀,3939
2393,億光,3931
4916,事欣科,3919
8215,明基材,3859
6197,佳必琪,3858
6438,迅得,3761
2305,全友,3728
3591,艾笛森,3719
2374,佳能,3719
2395,研華,3712
3583,辛耘,3671
3532,台勝科,3669
2404,漢唐,3609
3044,健鼎,3600
8261,富鼎,3521
3563,牧德,3489
2383,台光電,3477
6202,盛群,3441
6209,今國光,3393
2379,瑞昱,3378
3550,聯穎,3356
3090,日電貿,3346
3209,全科,3331
2201,裕隆,3308
2332,友訊,3247
5469,瀚宇博,3233
2363,矽統,3201
3437,榮創,3200
4915,致伸,3136
6962,奕力-KY,3099
2328,廣宇,3033
3019,亞光,2979
2405,輔信,2961
8070,長華*,2923
3013,晟銘電,2902
3596,智易,2888
6830,汎銓,2876
2365,昆盈,2792
1319,東陽,2786
6269,台郡,2782
2478,大毅,2773
8210,勤誠,2745
3704,合勤控,2731
2457,飛宏,2718
6141,柏承,2659
6278,台表科,2653
6442,光聖,2615
2331,精英,2579
2474,可成,2483
8105,凌巨,2481
6226,光鼎,2477
2401,凌陽,2468
2476,鉅祥,2447
3443,創意,2332
4934,太極,2266
6196,帆宣,2250
3543,州巧,2215
3035,智原,2206
6426,統新,2195
3023,信邦,2059
2439,美律,2058
2851,中再保,2032
3016,嘉晶,2023
6805,富世達,2016
3545,敦泰,1974
2838,聯邦銀,1970
6412,群電,1969
3533,嘉澤,1949
3717,聯嘉投控,1914
6909,創控,1914
3413,京鼎,1911
3661,世芯-KY,1834
6477,安集,1830
2883B,凱基金乙特,1819
1536,和大,1796
6205,詮欣,1778
2387,精元,1774
6155,鈞寶,1742
3605,宏致,1718
1471,首利,1662
3653,健策,1656
2392,正崴,1649
8011,台通,1630
6669,緯穎,1623
6831,邁科,1618
2493,揚博,1612
3029,零壹,1600
3092,鴻碩,1551
2375,凱美,1542
3010,華立,1536
2342,茂矽,1509
8103,瀚荃,1498
6658,聯策,1473
6715,嘉基,1441
2836,高雄銀,1427
3059,華晶科,1366
2204,中華,1355
2431,聯昌,1348
7769,鴻勁,1344
3338,泰碩,1322
2243,宏旭-KY,1317
6776,展碁國際,1308
3058,立德,1298
5244,弘凱,1263
3047,訊舟,1260
5234,達興材料,1247
6215,和椿,1227
2231,為升,1212
2468,華經,1210
4968,立積,1184
3050,鈺德,1171
6781,AES-KY,1140
4952,凌通,1090
2820,華票,1078
6854,錼創科技-KY創,1077
2359,所羅門,1062
6405,悅城,1061
1522,堤維西,1021
3022,威強電,1017
5471,松翰,1010
3312,弘憶股,1009
6206,飛捷,1004
6112,邁達特,994
6937,天虹,987
3406,玉晶光,980
8104,錸寶,968
2444,兆勁,966
6164,華興,966
1524,耿鼎,965
5269,祥碩,952
2428,興勤,946
2461,光群雷,940
6414,樺漢,926
3694,海華,925
2258,鴻華先進-創,918
4961,天鈺,910
2206,三陽工業,904
2466,冠西電,902
5222,全訊,887
3025,星通,878
6526,達發,868
3041,揚智,858
3712,永崴投控,855
3008,大立光,852
6862,三集瑞-KY,849
8213,志超,843
2233,宇隆,835
3011,今皓,821
2460,建通,816
2465,麗臺,814
7795,長廣,794
3014,聯陽,791
7822,倍利科,787
5434,崇越,781
3024,憶聲,776
8249,菱光,761
6834,天二科技,755
6189,豐藝,740
2390,云辰,740
8163,達方,734
6409,旭隼,722
2417,圓剛,719
6235,華孚,713
3032,偉訓,704
1563,巧新,688
7711,永擎,687
3504,揚明光,684
2302,麗正,681
6449,鈺邦,679
3051,力特,678
6214,精誠,676
6691,洋基工程,671
2427,三商電,669
5484,慧友,647
6533,晶心科,646
6142,友勁,633
2380,虹光,623
8016,矽創,615
2059,川湖,600
3515,華擎,592
2497,怡利電,580
6166,凌華,576
2314,台揚,573
3686,達能,545
2453,凌群,537
6108,競國,537
5258,虹堡,524
2852,第一保,524
1587,吉茂,516
3356,奇偶,505
4551,智伸科,504
6024,群益期,503
2362,藍天,501
00713,元大台灣高息低波,0
3324,雙鴻,0
00878,國泰永續高股息,0
00981A,主動台股增長,0
